bl_code,name,quantity
CR6504,CR6504,9
CR7004,CR7004,10
CR8004,CR8004,9
CR007010,CR007010,0
CR07510,CR07510,7
CR08012,CR08012,5
CR08516,CR08516,6
CR08017,CR08017,6
CR08011,CR08011,0
CR08512,CR08512,0
CR08515,CR08515,0
CR08518,CR08518,18
CR08510,CR08510,5
CR08562-P,CR08562-P,10
CR07010,CR07010,0
CR08517,CR08517,0
CR08015,CR08015,0
CR08016,CR08016,0
CR08018,CR08018,23
CR06510,CR06510,0
CR08010,CR08010,0
CR006510,CR006510,0
CR008010,CR008010,0
CR25610,CR25610,7
CR088437,CR088437,0
CR88437,CR88437,35
CR08562-B,CR08562-B,10
CR08562-G,CR08562-G,10
CR08562-O,CR08562-O,10
CR08562-Y,CR08562-Y,10
CR036610,CR036610,1
CR36610,CR36610,0
CR36740,CR36740,13
CR21237,CR21237,20
CR21237-X,CR21237-X,0
CR03611-B,CR03611-B,1
CR03611-G,CR03611-G,1
CR03611-O,CR03611-O,2
CR03611-P,CR03611-P,4
CR03611-Y,CR03611-Y,0
CR03611,CR03611,6
CR003637,CR003637,0
CR03637,CR03637,58
CR27610,CR27610,99
CR27110,CR27110,10
CR27312,CR27312,84
CR27310,CR27310,0
CR90141,CR90141,0
CR85306,CR85306,31
CR090141,CR090141,0
CR27210,CR27210,33
CR27710,CR27710,95
CR24430,CR24430,0
CR244301,CR244301,98
CR02310,CR02310,1
CR02610,CR02610,1
CR02311-B,CR02311-B,0
CR02311-G,CR02311-G,0
CR02311-O,CR02311-O,0
CR02311-P,CR02311-P,0
CR02311-Y,CR02311-Y,0
CR02311,CR02311,1
CR02312-B,CR02312-B,0
CR02312-G,CR02312-G,0
CR02312-O,CR02312-O,0
CR02312-P,CR02312-P,0
CR02312-Y,CR02312-Y,0
CR02312,CR02312,1
CR17511-B,CR17511-B,0
CR17511-G,CR17511-G,0
CR17511-O,CR17511-O,0
CR17511-P,CR17511-P,0
CR17511-Y,CR17511-Y,0
CR18011-B,CR18011-B,0
CR18011-G,CR18011-G,0
CR18011-O,CR18011-O,0
CR18011-Y,CR18011-Y,0
CR17512-B,CR17512-B,0
CR17512-G,CR17512-G,0
CR17512-O,CR17512-O,0
CR17512-P,CR17512-P,0
CR17512-Y,CR17512-Y,0
CR18012-B,CR18012-B,0
CR18012-G,CR18012-G,0
CR18012-O,CR18012-O,0
CR18012-P,CR18012-P,0
CR18012-Y,CR18012-Y,0
CR17511,CR17511,0
CR18011-P,CR18011-P,0
CR24230,CR24230,0
CR242307,CR242307,38
CR16213,CR16213,11
asstd.,asstd.,0
CR24132,CR24132,30
CR03510,CR03510,15
CR24043,CR24043,11
CR86537,CR86537,51
CR086537,CR086537,0
CR86512,CR86512,20
CR86511,CR86511,0
CR86512-B,CR86512-B,10
CR86512-G,CR86512-G,0
CR86512-O,CR86512-O,10
CR86512-P,CR86512-P,0
CR86512-Y,CR86512-Y,0
CR24044,CR24044,36
CR18734,CR18734,0
CR24045,CR24045,37
CR16012,CR16012,8
CR16212-Y,CR16212-Y,29
CR16116,CR16116,30
CR14004,CR14004,30
CR16115,CR16115,7
CR16212-B,CR16212-B,32
CR16212-G,CR16212-G,29
CR16212-O,CR16212-O,15
CR16212-P,CR16212-P,28
CR16212-R,CR16212-R,1
CR16117,CR16117,19
CR14518,CR14518,16
CR13510,CR13510,10
CR13518,CR13518,6
CR14010,CR14010,5
CR14018,CR14018,20
CR13010,CR13010,25
CR13018,CR13018,16
CR16011,CR16011,10
CR17210,CR17210,35
CR16016,CR16016,33
CR16010,CR16010,54
CR17010,CR17010,37
CR16015-O,CR16015-O,3
CR016116,CR016116,0
CR14510,CR14510,15
CR013010,CR013010,0
