bl_code,name,quantity
NFS14.C,Graphic Nail File Set,914
NFS15.C,Graphic Nail File Set,974
NFS16.C,Graphic Nail File Set,906
NFS17.C,Graphic Nail File Set,906
NFS18.C,Graphic Nail File Set,953
NFS19.C,Graphic Nail File Set,898
NFS2.C,Graphic Nail File Set,970
NFS20.C,Graphic Nail File Set,885
NFS3.C,Graphic Nail File Set,964
NFS4.C,Graphic Nail File Set,957
NFS5.C,Graphic Nail File Set,957
NFS6.C,Graphic Nail File Set,948
NFS7.C,Graphic Nail File Set,958
NFS8.C,Graphic Nail File Set,959
NFS9.C,Graphic Nail File Set,951
SC1.C,Grooming Scissors,0
BEN1.C,Hair Benders 10pk,684
BEN2.C,Hair Benders 10pk,530
BEN3.C,Hair Benders 10pk,511
BEN4.C,Hair Benders 10pk,808
BEN5.C,Hair Benders 10pk,716
BEN6.C,Hair Benders 10pk,793
HC2.C,Hair Clip 10pk,863
HLT-12,Hand Lotion,0
HD-107,HD-107 Flat Iron (black),156
HQ1013,HQ1013 Flat Iron,14
HQ1014,HQ1014 Flat Iron,0
HQ1021,HQ1021 Flat Iron,0
IBABTC.C,IBD Acrylic Bright Top Coat,0
IBATK.C,IBD Acrylic Trial Kit,0
IBADTC.C,IBD Air Dry Top Coat,0
IBBLN.C,IBD Blends Tip Blender,0
IBDHY.C,IBD Dehydrate,0
BFL3.C,IBD Diamond Buffer File,0
IBFDUVTC.C,IBD Fast Dry UV Top Coat,0
IBFGC1.C,IBD Flexible Gel Clear,0
IBFGC2.C,IBD Flexible Gel Clear,0
IBINT.C,IBD Intense Seal No Wipe UV Top Coat,0
IBJET1000.C,IBD Jet 1000 1-Hande UV Lamp,0
IBJETE.C,IBD Jet Elite 36W UV Lamp,4
IBLCO.C,IBD Lavender Cuticle Oil,0
IBPREP2.C,IBD Nail Prep Refill,0
IBPREP1.C,IBD Nail Prep Spray,0
IBNW.C,IBD Nail Wipes,0
IBNNP.C,IBD Natural Nail Primer,0
IBPB.C,IBD Prime Bonder,0
IBPGK.C,IBD Professional Gel Kit,0
BFBIB.C,IBD Quick Shine Buffer Block,0
IBRCON.C,IBD Reconstrux Nail Growth Formula,0
IBSGK.C,IBD Soak Off Gel Kit,0
IBSP.C,IBD Stick Primer,0
IBUS.C,IBD Ultra Seal,0
FT-18231,Instant French Nails,0
UVL3.C,Kaimei 2-Hand UV Lamp,1
BF-01248,Korean Quality Buffer,0
BF-01248-1,Korean Quality Buffer (10pcs. + 2 Free),0
LS-16221,Lace Stickers,0
LP-200007,Lamp Black,10
LP-200006,Lamp White,1
LP-200002,Lamp with Metal Painted Base (Black),0
LP-200001,Lamp with Metal Painted Base (White),0
LP-200003,Lamp with Metal Painted Base 2.5FT (White),0
C-040,LED Lamp,20
LED-10,LED Lamp,2
LED1.C,LED Lamp 12W,0
LED2.C,LED Lamp 12W,0
NW.C,Lint-Free Nail Wipes 900pk,0
SO-37,Lint-Free Nail Wipes Roll,0
FF8.C,Lollipop Foot File,4894
BFL2.C,Long Buffer 3 Grits,660
BFL1.C,Long Buffer 7 Grits 5pk,370
BOTP10.C,Lotion Pump Bottle,39
BOTP11.C,Lotion Pump Bottle,40
BOTP12.C,Lotion Pump Bottle,0
BOTP13.C,Lotion Pump Bottle,0
BOTP7.C,Lotion Pump Bottle,0
BOTP8.C,Lotion Pump Bottle,39
BOTP9.C,Lotion Pump Bottle,9
BOTS7.C,Lotion Pump Bottle,77
BOTS8.C,Lotion Pump Bottle,36
PB-212,Lotion Pump Bottle,0
MH-1922,Magnifying Headset,49
DRL2.C,Mani Pro Nail Drill,0
ARMF1.C,Manicure Arm Cushion/Fabric,2
ARML1.C,Manicure Arm Cushion/Leather,19
SS-AR31,Manicure Arm Rest,0
SS-AR34,Manicure Arm Rest,0
MANB1,Manicure Bowl,232
MANB10.C,Manicure Bowl,0
MANB2.C,Manicure Bowl,246
MANB6.C,Manicure Bowl,213
MANB7.C,Manicure Bowl,70
MANB8.C,Manicure Bowl,23
MANB9.C,Manicure Bowl,38
MB-0122,Manicure Bowl,0
MB-0123,Manicure Bowl,0
MB-0125,Manicure Bowl,0
MB-0128,Manicure Bowl,0
MB-0129,Manicure Bowl,0
MB-0130,Manicure Bowl,0
MB-0131,Manicure Bowl,0
MB-0142-1,Manicure Bowl,0
MB-19,Manicure Bowl,0
MB-21,Manicure Bowl,0
MB-22,Manicure Bowl,0
MANB3.C,Manicure Bowl Curve,39
MANB4.C,Manicure Bowl Curve,45
MANB5.C,Manicure Bowl Curve,47
BR-01252,Manicure Brush,0
BR-01282,Manicure Brush,0
BR-01285,Manicure Brush,0
BR-01292,Manicure Brush,0
BR-01303,Manicure Brush,0
BR-01312,Manicure Brush,0
BR-01313,Manicure Brush,0
BR-01314,Manicure Brush,0
BR-01442,Manicure Brush,0
BRM1.C,Manicure Brush,31
BRM10.C,Manicure Brush,23
BRM3.C,Manicure Brush,0
BRM4.C,Manicure Brush,128
BRM5.C,Manicure Brush,0
BRM6.C,Manicure Brush,0
BRM7.C,Manicure Brush,0
BRM8.C,Manicure Brush,236
BRM9.C,Manicure Brush,85
BR-0144-2,Manicure Brush (10pcs. + 2 Free),0
6288-31,Massage Bed 6288-31 Brown,0
6288-73,Massage Bed Dark Brown,0
TB-001,Massage Bed White,0
BOTP5.C,Menda Pump Bottle Metal,36
BOTP6,Menda Pump Bottle Metal,16
DRYM1.C,Mini Nail Dryer (NDB-1),0
DRYM2.C,Mini Nail Dryer (NDB-2),0
BOTS12.C,Mini Spray Bottle,0
BOTS13.C,Mini Spray Bottle,30
BOTS14.C,Mini Spray Bottle,0
BOTS15.C,Mini Spray Bottle,0
BOTS16.C,Mini Spray Bottle,0
BOTS17.C,Mini Spray Bottle,0
BOTS18.C,Mini Spray Bottle,0
BOTS19.C,Mini Spray Bottle,0
BOTS20.C,Mini Spray Bottle,0
