bl_code,name,quantity
GG0896,Lavender Paraffin Wax,652
GG0896.C,Lavender Paraffin Wax,0
GG0898,Citrus Paraffin Wax,185
GG0899,Brazilian Body Hard Wax,168
GG0900,Swiss Epilating Tweezers_Pointed,86
GG0901,Pre Epilation Oil,89
GG0902,Swiss Epilating Tweezers_Slanted,76
GG0905,Paraffin Insulating Foot Mitts (GiGi),128
GG0910,Paraffin Insulating Hand Mitts 2 pk,119
GG0911.C,Brazilian Bikini Microwave Kit,5
GG0912,Brazilian Bikini Wax Microwave Formula,3
GG0915,Paraffin Hand & Foot Protectors (Plastic) 26 ct,274
GG0917.C,Hemp Microwave Kit,10
GG0918,Hemp Microwave Formula,19
GG0920,Paraffin Accessories Kit,0
GG0925,Botanical Blend Paraffin Wax,255
GG0930,Mango & Shea Paraffin Wax,198
GG0935,Sweet Vanilla Paraffin Wax,0
GG0953,Digital Paraffin Bath w/ Steel Bowl,0
GG0954EU,Brazilian Waxing Kit,10
GG0954EU.C,Brazilian Waxing Kit (220V),0
GG0954EU.T,Brazilian Waxing Kit (220V),0
GG0960,Digital Paraffin Spa Kit,40
GG0973,GIGI Applicator Set Display,0
GG1040E,Professional Epilation System (DVD),0
GG1041,Professional Wax DVD for Soft Wax Application,0
GG1050E,Brazilian Hard Wax DVD,0
GG14-2071,Gigi Catalog from US,0
GG225CE,Wax Warmer (220V),1
GG24-2314,Gigi Deluxe Tote with Wheels,0
GG70_5501,Adapter 12v 220v,0
GGBLCAT-01,Catalog BL,0
GGBLPSTR-01,Poster 18x24 BL,0
GGBLPSTR-02,Poster 27x36 BL,0
GGBLPSTR-03,Poster 11x17 BL,0
GGBLSTND8.5X11-01,Reception Standee 8.5x11 BL,0
GGBLTARP-01,Tarp 36x72 BL,0
GGBLTEE-L01,T-shirt Ladies BL,99
GGPBPCN,GIGI Professional Beauty Product Catalog(New),0
GGPBPCO,GIGI Professional Beauty Product Catalog(Old),0
GGPRO2.C,PRO 2 KIT BL,0
GGPRO2.T,PRO 2 KIT BL,0
GGPRO3.C,PRO 3 KIT BL,0
GGPRO3.T,PRO 3 KIT BL,0
GIGI000004,Paraffin epilation (DVD),0
GIGI000005,Brazilian (DVD),0
GIGI000006,GiGi Waxing System New User Promo,0
GIGI000007,GiGi Waxing System Switch Promo,0
MGG000001,Gigi Bag,0
MGG000002,Gigi Bag with Ardell,0
MGG000003,Gigi Catalog,0
MGG000004,Gigi Catalog Old,0
MGG000005,Gigi Window Decal,0
MGG000006,Gigi Easel Card by BL,0
MGG000007,Gigi Easel Card (Davids Salon),0
MGG000008,Gigi Easel Card (Foam Board),0
MGG000009,Gigi Easel Card Small from US,0
MGG000010,Gigi Post Card from US,0
MGG000011,Hair Removal Services Menu,0
MGG000012,Gigi Manual Instructions,0
MGG000013,Gigi Poster Big,0
MGG000014,Gigi Poster Small,0
MGG000015,Gigi Tarpaulin,0
