bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
BRG6.C,Salon Solutions,Professional Gel Brush,,Gold,piece,SSBRGPNO6,Cash,For Cancellation,AGB-111-1,C,Auparis,Gel Brush,1.2,,80,For Cancellation,BLPI - Dasma,0
BRGS1.C,Salon Solutions,Professional Gel Brush Set,,Silver,piece,SSBRGPNO7,Cash,For Cancellation,AGB-58,C,Auparis,Gel Brush,1,,100,For Cancellation,BLPI - Dasma,0
BRGS2.C,Salon Solutions,Gel Brush Set 4pc,,Gold,piece,SSBRGPNO8,Cash,For Cancellation,---,C,Lyn Weichu,Gel Brush,2.9,,250,For Cancellation,BLPI - Dasma,0
FRM1.C,Salon Solutions,Nail Form,,,piece,SSFRMPNO1,Cash,For Cancellation,FO-35,C,Auparis,Nail Form,2.25,,180,For Cancellation,BLPI - Dasma,0
FRM2.C,Salon Solutions,Nail Form,,,piece,SSFRMPNO2,Cash,For Cancellation,FO-43,C,Auparis,Nail Form,2.4,,180,For Cancellation,BLPI - Dasma,0
FRM3.C,Salon Solutions,Nail Form Butterfly,,,piece,SSFRMPNO3,Cash,For Cancellation,FO-53,C,Auparis,Nail Form,3.2,,220,For Cancellation,BLPI - Dasma,0
FRMH.C,Salon Solutions,Nail Form Holder,,Clear,piece,SSFRMHPNO,Cash,For Cancellation,FO-13,C,Auparis,Nail Form,1.5,,120,For Cancellation,BLPI - Dasma,0
GRFC.C,Salon Solutions,Gel Remover Finger Clips 10pk,,Pink,piece,SSGRFCPNO,Cash,For Cancellation,SO-97,C,Auparis,Gel Remover,1,,80,For Cancellation,BLPI - Dasma,0
FNT1.C,Salon Solutions,French Tips/Short,,,piece,SSFNTPNO1,Cash,For Cancellation,NT-91,C,Auparis,French Tips,1.5,,400,For Cancellation,BLPI - Dasma,0
FNT2.C,Salon Solutions,French Tips/Short,,,piece,SSFNTPNO2,Cash,For Cancellation,---,C,Lyn Weichu,French Tips,5,,400,For Cancellation,BLPI - Dasma,0
