bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
MANB2.C,Salon Solutions,Manicure Bowl,,Clear,piece,SSMANBPNO2,Cash,For Cancellation,---,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
MANB3.C,Salon Solutions,Manicure Bowl Curve,,Black,piece,SSMANBPNO3,Cash,For Cancellation,MB-19,C,Auparis,Manicure Bowl,0.55,,55,For Cancellation,BLPI - Dasma,0
MANB4.C,Salon Solutions,Manicure Bowl Curve,,Pink,piece,SSMANBPNO4,Cash,For Cancellation,MB-21,C,Auparis,Manicure Bowl,0.55,,55,For Cancellation,BLPI - Dasma,0
MANB5.C,Salon Solutions,Manicure Bowl Curve,,Purple,piece,SSMANBPNO5,Cash,For Cancellation,MB-22,C,Auparis,Manicure Bowl,0.55,,55,For Cancellation,BLPI - Dasma,0
MANB6.C,Salon Solutions,Manicure Bowl,,Black,piece,SSMANBPNO6,Cash,For Cancellation,I-022,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
MANB7.C,Salon Solutions,Manicure Bowl,,Green,piece,SSMANBPNO7,Cash,For Cancellation,I-022,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
MANB8.C,Salon Solutions,Manicure Bowl,,Blue,piece,SSMANBPNO8,Cash,For Cancellation,I-022,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
MANB9.C,Salon Solutions,Manicure Bowl,,Dark Pink,piece,SSMANBPNO9,Cash,For Cancellation,I-022,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
MANB10.C,Salon Solutions,Manicure Bowl,,Orange,piece,SSMANBPNO10,Cash,For Cancellation,I-022,C,Supernail,Manicure Bowl,0.253,35,30,For Cancellation,BLPI - Dasma,0
CPEN1.C,Salon Solutions,TYD Cut. Oil Pen Lavender ,,,piece,SSCPENPNO1,Cash,For Cancellation,A-01,C,Supernail,TYD Cut,0.25,30,25,For Cancellation,BLPI - Dasma,0
CPEN2.C,Salon Solutions,TYD Cut. Oil Pen Lemon,,,piece,SSCPENPNO2,Cash,For Cancellation,A-01,C,Supernail,TYD Cut,0.25,30,25,For Cancellation,BLPI - Dasma,0
CPEN3.C,Salon Solutions,TYD Cut. Oil Pen Strawberry,,,piece,SSCPENPNO3,Cash,For Cancellation,A-01,C,Supernail,TYD Cut,0.25,30,25,For Cancellation,BLPI - Dasma,0
CPEN4.C,Salon Solutions,TYD Cut. Oil Pen Jasmine,,,piece,SSCPENPNO4,Cash,For Cancellation,A-01,C,Supernail,TYD Cut,0.25,30,25,For Cancellation,BLPI - Dasma,0
CPEN5.C,Salon Solutions,TYD Cut. Oil Pen Honey Peach,,,piece,SSCPENPNO5,Cash,For Cancellation,A-01,C,Supernail,TYD Cut,0.25,30,25,For Cancellation,BLPI - Dasma,0
BRM1.C,Salon Solutions,Manicure Brush,,Orange,piece,SSBRMPNO1,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM3.C,Salon Solutions,Manicure Brush,,Light Pink,piece,SSBRMPNO2,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM4.C,Salon Solutions,Manicure Brush,,Neon Green,piece,SSBRMPNO3,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM5.C,Salon Solutions,Manicure Brush,,Light Blue,piece,SSBRMPNO4,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM6.C,Salon Solutions,Manicure Brush,,Blue Gree,piece,SSBRMPNO5,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM7.C,Salon Solutions,Manicure Brush,,Teal,piece,SSBRMPNO6,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM8.C,Salon Solutions,Manicure Brush,,Hot Pink,piece,SSBRMPNO7,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM9.C,Salon Solutions,Manicure Brush,,Pink,piece,SSBRMPNO8,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRM10.C,Salon Solutions,Manicure Brush,,Purple,piece,SSBRMPNO9,Cash,For Cancellation,---,C,Supernail,Manicure Brush,0.05,10,8,For Cancellation,BLPI - Dasma,0
BRD1,Salon Solutions,Nail Dust Brush,,Grey,piece,SSBRDPNO1,Cash,For Cancellation,---,C,Supernail,Nail Dust,1.8,150,100,For Cancellation,BLPI - Dasma,0
BRD2,Salon Solutions,Nail Dust Brush,,Purple,piece,SSBRDPNO2,Cash,For Cancellation,---,C,Supernail,Nail Dust,1.8,150,100,For Cancellation,BLPI - Dasma,0
BRD3,Salon Solutions,Nail Dust Brush,,Black,piece,SSBRDPNO3,Cash,For Cancellation,---,C,Supernail,Nail Dust,1.8,150,100,For Cancellation,BLPI - Dasma,0
BRD4,Salon Solutions,Nail Dust Brush,,Black/Pink,piece,SSBRDPNO4,Cash,For Cancellation,SO-14,C,Auparis,Nail Dust,1.5,130,90,For Cancellation,BLPI - Dasma,0
TS1.C,Salon Solutions,Toe Separator Crown,,Pink,piece,SSTSPNO1,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02311,C,Jindun,Toe Separator,0.1,20,12,For Cancellation,BLPI - Dasma,0
TS2.C,Salon Solutions,Toe Separator Sassy ,,Pink,piece,SSTSPNO2,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02315,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS3.C,Salon Solutions,Toe Separator Sassy ,,Pink,piece,SSTSPNO3,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02315-1,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS4.C,Salon Solutions,Toe Separator Sassy ,,Purple/Pink,piece,SSTSPNO4,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02305,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS5.C,Salon Solutions,Toe Separator Sassy ,,Blue/Pink,piece,SSTSPNO5,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02255,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS6.C,Salon Solutions,Toe Separator Butterfly,,Dark Pink,piece,SSTSPNO6,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02311,C,Jindun,Toe Separator,0.098,20,12,For Cancellation,BLPI - Dasma,0
TS7.C,Salon Solutions,Toe Separator Butterfly,,Light Pink,piece,SSTSPNO7,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02301,C,Jindun,Toe Separator,0.098,20,12,For Cancellation,BLPI - Dasma,0
TS8.C,Salon Solutions,Toe Separator Butterfly,,Blue,piece,SSTSPNO8,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02251,C,Jindun,Toe Separator,0.098,20,12,For Cancellation,BLPI - Dasma,0
TS9.C,Salon Solutions,Toe Separator Crown&Stars,,Magenta,piece,SSTSPNO9,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-023010,C,Jindun,Toe Separator,0.098,20,12,For Cancellation,BLPI - Dasma,0
TS10,Salon Solutions,Toe Separator Crown&Stars,,Pink,piece,SSTSPNO10,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-023110,C,Jindun,Toe Separator,0.098,20,12,For Cancellation,BLPI - Dasma,0
TS11.C,Salon Solutions,Toe Separator Flower Dots,,Black,piece,SSTSPNO11,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02222,C,Jindun,Toe Separator,0.12,20,15,For Cancellation,BLPI - Dasma,0
TS12.C,Salon Solutions,Toe Separator Flower Dots,,Purple,piece,SSTSPNO12,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02302,C,Jindun,Toe Separator,0.12,20,15,For Cancellation,BLPI - Dasma,0
TS13.C,Salon Solutions,Toe Separator Flower Dots,,Pink,piece,SSTSPNO13,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02312,C,Jindun,Toe Separator,0.12,20,15,For Cancellation,BLPI - Dasma,0
TS14.C,Salon Solutions,Toe Separator Tulips,,Purple,piece,SSTSPNO14,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02303,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS15.C,Salon Solutions,Toe Separator Tulips,,Pink,piece,SSTSPNO15,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02313,C,Jindun,Toe Separator,0.097,20,12,For Cancellation,BLPI - Dasma,0
TS16.C,Salon Solutions,Toe Separator Dog,,Black,piece,SSTSPNO16,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02228,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS17.C,Salon Solutions,Toe Separator Cat,,Dark Blue,piece,SSTSPNO17,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02259,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS18.C,Salon Solutions,Toe Separator Cat,,Indigo,piece,SSTSPNO18,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02259-1,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS19.C,Salon Solutions,Toe Separator Snail,,Black,piece,SSTSPNO19,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02227,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS20.C,Salon Solutions,Toe Separator Snail,,Pink,piece,SSTSPNO20,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02307,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS21.C,Salon Solutions,Toe Separator Snail,,Blue,piece,SSTSPNO21,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02257,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS22.C,Salon Solutions,Toe Separator Flower&Stars,,Light Purple,piece,SSTSPNO22,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02306,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS23.C,Salon Solutions,Toe Separator Flower&Stars,,Pink,piece,SSTSPNO23,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-023106,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS24.C,Salon Solutions,Toe Separator Flower&Stars,,Dark Pink,piece,SSTSPNO24,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-023106-1,C,Jindun,Toe Separator,0.29,35,35,For Cancellation,BLPI - Dasma,0
TS25.C,Salon Solutions,Toe Separator Bunnies,,Dark Pink,piece,SSTSPNO25,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02314,C,Jindun,Toe Separator,0.105,20,15,For Cancellation,BLPI - Dasma,0
TS26.C,Salon Solutions,Toe Separator Bunnies,,Light Purple,piece,SSTSPNO26,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02304,C,Jindun,Toe Separator,0.105,20,15,For Cancellation,BLPI - Dasma,0
TS27.C,Salon Solutions,Toe Separator Bunnies,,Magenta,piece,SSTSPNO27,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,TS-02304-1,C,Jindun,Toe Separator,0.105,20,15,For Cancellation,BLPI - Dasma,0
TS28.C,Salon Solutions,Toe Separator SmileyFace ,,Pink,piece,SSTSPNO28,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,---,C,Auparis,Toe Separator,0.098,15,10,For Cancellation,BLPI - Dasma,0
TS29.C,Salon Solutions,Toe Separator SmileyFace ,,Blue,piece,SSTSPNO29,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,---,C,Auparis,Toe Separator,0.098,15,10,For Cancellation,BLPI - Dasma,0
TS30.C,Salon Solutions,Toe Separator Leopard,,White/Black/Brown,piece,SSTSPNO30,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,---,C,Auparis,Toe Separator,0.098,15,10,For Cancellation,BLPI - Dasma,0
TS31.C,Salon Solutions,Toe Separator Leopard,,White/Black/Purple,piece,SSTSPNO31,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,---,C,Auparis,Toe Separator,0.098,15,10,For Cancellation,BLPI - Dasma,0
TS32.C,Salon Solutions,Toe Separator Leopard,,White/Black/Blue,piece,SSTSPNO32,Cash,NO FURTHER DISCOUNT! Minimum order for Toes Separators is 5 pairs.,---,C,Auparis,Toe Separator,0.098,15,10,For Cancellation,BLPI - Dasma,0
CG70419,China Glaze,2030,14ml/0.5oz,,piece,CGPNO_2030,Cash,2009 Khrome Collection,70419,C,American  International Industries,,1.51,350,220,Discontinued,BLPI - Dasma,15
CG70634,China Glaze,100 Proof Pink,14ml/0.5oz,,piece,CGPNO_100ProofPink,Cash,2006 Tequila Toes Collection,70634,C,American  International Industries,,1.41,350,220,Discontinued,BLPI - Dasma,0
CG80702,China Glaze,108 Degrees,14ml/0.5oz,,piece,CGPNO_108Degrees,Cash,2011 Island Escape Collection,80702,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,0
CG70836,China Glaze,120pc Empty Rack,,,display,CGPNO_120pcEmptyRack,Cash,Empty Rack. No polish included.,70836,C,American  International Industries,,50.25,,,Active,BLPI - Dasma,0
CG29501,China Glaze,12pc Best Selling Core Display,14ml/0.5oz bottles,,display,CGPNO_12pcBestSellingCoreDisplay,Cash,"Price is for polishes only, rack is FREE.",81183,C,American  International Industries,,16.92,,2640,Discontinued,BLPI - Dasma,0
CG80722,China Glaze,12pc Core Display,14ml/0.5oz bottles,,display,CGPNO_12pcCoreDisplay80722,Cash,"Price is for polishes only, rack is FREE.",80722,C,American  International Industries,,16.92,,,Discontinued,BLPI - Dasma,0
CG81514,China Glaze,144pc Bestsellers Rack,14ml/0.5oz bottles,,display,CGPNO81514_144pcBestsellersRack,Cash,Price is for 124pcs only so 20pcs FREE.,81514,C,American  International Industries,,210.6,,,Active,BLPI - Dasma,0
CG77041,China Glaze,144pc Core Rack,14ml/0.5oz bottles,,display,CGPNO_144pcCoreRack,Cash,Rack with polish.,77041,C,American  International Industries,,202.6,,,Discontinued,BLPI - Dasma,0
CG77043,China Glaze,144pc Core Rack DBP Free 2012,14ml/0.5oz bottles,,display,CGPNO_144pcCoreRackDBPFree2012,Cash,Rack with polish.,77043,C,American  International Industries,,202.6,,,Active,BLPI - Dasma,0
CG77068,China Glaze,144pc Core Wire Rack DBP Free,14ml/0.5oz bottles,,display,CGPNO_144pcCoreWireRackDBPFree,Cash,Price is for 124pcs only so 20pcs FREE.,77068,C,American  International Industries,,211.68,,,Discontinued,BLPI - Dasma,0
CG77072,China Glaze,"144pc Empty Rack, Black (no polish)",,,display,CGPNO_144pcEmptyRackBlack(nopolish),Cash,Empty Rack. No polish included.,77072,C,American  International Industries,,100.5,,,Active,BLPI - Dasma,0
CG77075,China Glaze,"144pc Empty Rack, Black (with polish)",,,display,CGPNO_144pcEmptyRackBlack(withpolish),Cash,Rack with polish.,77075,C,American  International Industries,,112.5,,,Discontinued,BLPI - Dasma,0
CG80805,China Glaze,2NITE,14ml/0.5oz,,piece,CGPNO_2NITE,Cash,2008 OMG! Collection,80805,C,American  International Industries,,2.03,370,300,Discontinued,BLPI - Dasma,0
CG81184,China Glaze,36pc Best Selling Core Rack 2012,14ml/0.5oz bottles,,display,CGPNO_36pcBestSellingCoreRack2012,Cash,"Price is for polishes only, rack is FREE.",81184,C,American  International Industries,,50.76,,8000,Discontinued,BLPI - Dasma,0
CG80725,China Glaze,36pc Core Rack,14ml/0.5oz bottles,,display,CGPNO_36pcCoreRack,Cash,"Price is for polishes only, rack is FREE.",80725,C,American  International Industries,,50.76,,8000,Discontinued,BLPI - Dasma,0
CG77074,China Glaze,"36pc Empty Rack, Black (includes Header)",,,display,CGPNO_36pcEmptyRackBlack(includesHeader),Cash,Empty Rack. No polish included.,77074,C,American  International Industries,,12.06,,,Active,BLPI - Dasma,192
CG77047,China Glaze,480pc Bestsellers Rack,14ml/0.5oz bottles,,display,CGPNO77047_480pcBestsellersRack,Cash,Price is for 464pcs so 16pcs FREE. BY SPECIAL ORDER ONLY!!!,77047,C,American  International Industries,,702,,,Active,BLPI - Dasma,0
CG77040,China Glaze,480pc Core Rack,14ml/0.5oz bottles,,display,CGPNO_480pcCoreRack,Cash,Price is for 464pcs so 16pcs FREE. BY SPECIAL ORDER ONLY!!!,77040,C,American  International Industries,,676.8,,,Discontinued,BLPI - Dasma,0
CG77044,China Glaze,480pc Core Rack DBP Free 2012,14ml/0.5oz bottles,,display,CGPNO_480pcCoreRackDBPFree2012,Cash,Price is for 464pcs so 16pcs FREE. BY SPECIAL ORDER ONLY!!!,77044,C,American  International Industries,,676.8,,,Discontinued,BLPI - Dasma,0
CG77067,China Glaze,480pc Core Wire Rack DBP Free,14ml/0.5oz bottles,,display,CGPNO_480pcCoreWireRackDBPFree,Cash,Price is for 464pcs so 16pcs FREE. BY SPECIAL ORDER ONLY!!!,77067,C,American  International Industries,,702,,,Discontinued,BLPI - Dasma,0
CG77070,China Glaze,"480pc Empty Rack, Black (includes Header)",,,display,CGPNO_480pcEmptyRackBlack(includesHeader),Cash,Empty Rack. No polish included.,77070,C,American  International Industries,,134,,,Active,BLPI - Dasma,0
CG77073,China Glaze,"48pc Empty Treatment Rack, Silver (includes Header)",,,display,CGPNO_48pcEmptyTreatmentRackSilver(includesHeader),Cash,Empty Rack. No polish included.,77073,C,American  International Industries,,56.25,,,Discontinued,BLPI - Dasma,0
CG77069,China Glaze,"48pc Treatment Rack, Black (replaces 77079)",14ml/0.5oz bottles,,display,CGPNO_48pcTreatmentRackBlack(replaces77079),Cash,"Rack with polish.  Price is just for polish, rack is FREE.",77069,C,American  International Industries,,108.27,,,Discontinued,BLPI - Dasma,0
CG77079,China Glaze,"48pc Treatment Rack, Silver (replaces 71847)",14ml/0.5oz bottles,,display,CGPNO_48pcTreatmentRackSilver(replaces71847),Cash,Rack with polish.,77079,C,American  International Industries,,138.97,,,Discontinued,BLPI - Dasma,0
CG28871,China Glaze,5 Golden Rings,14ml/0.5oz,,piece,CGPNO_5GoldenRings,Cash,2009 CG Loves You Snow Much Collection,28871,C,American  International Industries,,1.46,350,220,Discontinued,BLPI - Dasma,0
CG77085,China Glaze,744pc Empty Floor Stand,,,display,CGPNO_744pcEmptyFloorStand,Cash,Empty Rack. No polish included. For company use only.  Not for sale.,77085,C,American  International Industries,,325,,,Active,BLPI - Dasma,0
CG81091,China Glaze,744pc Floor Stand,14ml/0.5oz bottles,,display,CGPNO_744pcFloorStand,Cash,Rack with polish.,81091,C,American  International Industries,,1049.04,,,Discontinued,BLPI - Dasma,0
CG81209,China Glaze,744pc Floor Stand Merchandiser 2012,,,display,CGPNO_744pcFloorStandMerchandiser2012,Cash,Price is for 558pcs so 186 and the Stand are FREE.  BY ORDER ONLY!!!,81209,C,American  International Industries,,1049.04,,,Discontinued,BLPI - Dasma,0
CG77071,China Glaze,"80pc Empty Treatment Rack, Silver (includes Header)",,,display,CGPNO_80pcEmptyTreatmentRackSilver(includesHeader),Cash,Empty Rack. No polish included.,77071,C,American  International Industries,,60,,,Discontinued,BLPI - Dasma,0
CG80212,China Glaze,Admire,14ml/0.5oz,,piece,CGPNO_Admire,Cash,2009 Romantique Collection,80212,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,1
CG80209,China Glaze,Adore,14ml/0.5oz,,piece,CGPNO_Adore,Cash,2009 Romantique Collection,80209,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,5
CG80498,China Glaze,Adventure Red-Y,14ml/0.5oz,,piece,CGPNO_AdventureRed-Y,Cash,2012 On Safari Collection,80498,C,American  International Industries,,1.512,350,220,Active,BLPI - Dasma,2
CG70697,China Glaze,Afterglow,14ml/0.5oz,,piece,CGPNO_Afterglow,Cash,"Core Colour Current, 2007 BLUSH Collection",70697,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,25
CG80896,China Glaze,Agent Lavender,14ml/0.5oz,,piece,CGPNO_AgentLavender,Cash,2008 Operation: Colour Collection,80896,C,American  International Industries,,1.46,350,220,Discontinued,BLPI - Dasma,0
CG80619,China Glaze,Agro,14ml/0.5oz,,piece,CGPNO_Agro,Cash,"2012 Capitol Colours, Hunger Games",80619,C,American  International Industries,,1.41,350,220,Discontinued,BLPI - Dasma,38
CG80966,China Glaze,Ahoy!,14ml/0.5oz,,piece,CGPNO_Ahoy!,Cash,2011 Anchors Away Collection,80966,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,1
CG81535,China Glaze,All A Flutter,14ml/0.5oz,,piece,CGPNO_AllAFlutter,Cash,2013 On Horizon Collection,81535,C,American  International Industries,,2.1,450,310,Discontinued,BLPI - Dasma,18
CG81868,China Glaze,All Aboard 12pc Display with 12pc backup (total 24pcs),14ml/0.5oz bottles,,display,CGPNO_AllAboard12pcDisplaywith12pcbackuptotal24pcs,Cash,2014 All Aboard Collection. Price is for 22pcs so 2pcs + display are FREE.  ,81868,C,American  International Industries,,36.24,,4840,Active,BLPI - Dasma,0
CG81869,China Glaze,All Aboard 12pc Display with 24pc backup (total 36pcs),14ml/0.5oz bottles,,display,CGPNO_AllAboard12pcDisplaywith24pcbackuptotal36pcs,Cash,2014 All Aboard Collection. Price is for 33pcs so3pcs + display are FREE.,81869,C,American  International Industries,,54.36,,8000,Active,BLPI - Dasma,0
CG81867,China Glaze,All Aboard 12pc in 12pc Display,14ml/0.5oz bottles,,display,CGPNO_AllAboard12pcin12pcDisplay,Cash,2014 All Aboard Collection. Price is for 11pcs so 1pc + the display are FREE.  ,81867,C,American  International Industries,,18.12,,2420,Active,BLPI - Dasma,12
CG81853,China Glaze,All Aboard!,14ml/0.5oz,,piece,CGPNO_AllAboard,Cash,2014 All Aboard Collection,81853,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,55
CG81864,China Glaze,"All Aboard! - All Aboard! 6pc Set, Includes: Don't Get Derailed, Choo-Choo Choose You, All Aboard!, Conduct Yourself, Lug Your Designer Baggage, What Are You A-Freight Of                   ",14ml/0.5oz bottles,,set,CGPNO_AllAboardAllAboard6pcSet,Cash,2014 All Aboard Collection,81864,C,American  International Industries,,9.06,,1320,Active,BLPI - Dasma,0
CG81865,China Glaze,"All Aboard! - Loco-Motive 6pc Set, Includes: Nice Caboose!, Mind the Gap, Well Trained, One Track Mind, Loco-Motive, Stop That Train!                                             ",14ml/0.5oz bottles,,set,CGPNO_AllAboardLocoMotive6pcSet,Cash,2014 All Aboard Collection,81865,C,American  International Industries,,9.06,,1320,Active,BLPI - Dasma,0
CG81394,China Glaze,All Wrapped Up,14ml/0.5oz,,piece,CGPNO_AllWrappedUp,Cash,2013 Happy Holiglaze Collection,81394,C,American  International Industries,,1.512,350,220,Discontinued,BLPI - Dasma,10
CG81248,China Glaze,Altered Reality,14ml/0.5oz,,piece,CGPNO_AlteredReality,Cash,2012 Tranzitions Collection,81248,C,American  International Industries,,1.41,350,220,Active,BLPI - Dasma,0
CG81256,China Glaze,Aluminate,14ml/0.5oz,,piece,CGPNO_Aluminate,Cash,2014 Crinkled Chrome Collection,81256,C,American  International Industries,,2.1,450,310,Active,BLPI - Dasma,0
CG70287,China Glaze,Always A Bridesmaid,14ml/0.5oz,,piece,CGPNO_AlwaysABridesmaid,Cash,Collection unknown.,70287,C,American  International Industries,,1.46,350,220,Discontinued,BLPI - Dasma,0
CG81113,China Glaze,Always A Lady,14ml/0.5oz,,piece,CGPNO_AlwaysALady,Cash,2012 Breast Cancer Awareness - United In Purpose Collection,81113,C,American  International Industries,,1.41,350,220,Discontinued,BLPI - Dasma,398
CG70427,China Glaze,An Affair to Remember,14ml/0.5oz,,piece,CGPNO_AnAffairtoRemember,Cash,Core Colour Old and 2005 Visions of Grandeur Collection,70427,C,American  International Industries,,1.46,350,220,Discontinued,BLPI - Dasma,1
CG80985,China Glaze,"Anchors Away  Sand & Sea 6pc Box Collection, Includes: Below Deck, Knotty, Pelican Gray, Sea Spray, Sunset Sail and White Cap",14ml/0.5oz bottles,,set,CGPNO_AnchorsAway Sand&Sea6pcBoxCollection,Cash,2011 Anchors Away Collection. Price is for 6pcs less 15%.  ,80985,C,American  International Industries,,9.45,,,Discontinued,BLPI - Dasma,19
CG80986,China Glaze,Anchors Away 12pc Display,14ml/0.5oz bottles,,display,CGPNO_AnchorsAway12pcDisplay,Cash,2011 Anchors Away Collection.  Price is for 11pcs so 1pc + the display are FREE.  ,80986,C,American  International Industries,,18.9,,2750,Discontinued,BLPI - Dasma,0
CG80988,China Glaze,Anchors Away 36pc Rack,14ml/0.5oz bottles,,display,CGPNO_AnchorsAway36pcRack,Cash,2011 Anchors Away Collection. Price is for polishes only so rack is FREE.  ,80988,C,American  International Industries,,56.7,,,Discontinued,BLPI - Dasma,1
CG80983,China Glaze,"Anchors Away 4pc Mini, Includes: White Cap, First Mate, Ahoy! and Hey Sailor",0.325oz bottles,,set,CGPNO_AnchorsAway4pcMini,Cash,2011 Anchors Away Collection,80983,C,American  International Industries,,3.98,,590,Discontinued,BLPI - Dasma,0
CG80984,China Glaze,"Anchors Away Knotty Nauticals 6pc Box Collection, Includes: Starboard, Ahoy!, Hey Sailor, Lighthouse, First Mate and Life Preserver",14ml/0.5oz bottles,,set,CGPNO_AnchorsAwayKnottyNauticals6pcBoxCollection,Cash,2011 Anchors Away Collection,80984,C,American  International Industries,,7.86,,1320,Discontinued,BLPI - Dasma,1
CG80651,China Glaze,Angel Wings,14ml/0.5oz,,piece,CGPNO_AngelWings,Cash,2012 Holiday Joy Collection,80651,C,American  International Industries,,1.41,350,220,Discontinued,BLPI - Dasma,11
CG81097,China Glaze,Angel's Breath,14ml/0.5oz,,piece,CGPNO_AngelsBreath,Cash,2012 Breast Cancer Awareness - United In Purpose,81097,C,American  International Industries,,1.41,350,220,Active,BLPI - Dasma,1436
CG70891,China Glaze,Anklets of Amethysts,14ml/0.5oz,,piece,CGPNO_AnkletsofAmethysts,Cash,"Core Colour Current, 2006 We Adorn You Collection",70891,C,American  International Industries,,1.51,350,220,Active,BLPI - Dasma,8
CG82135,China Glaze,"Apocalypse 4pc Kit: Includes 1 of each .5 oz: Getting to Gnaw You, But of Corpse, Rest in Pieces, Don't Let the Dead Bite                                                       ",14ml/0.5oz,,piece,CGPNO_Apocalypse4pcKit,Cash,2014 Apocalypse Collection for Halloween,82135,C,American  International Industries,,6.04,350,880,Active,BLPI - Dasma,0
