name
"American  International Industries"
"Forsythe Cosmetic Group"
"GIB, LLC dba Brazilian Blowout"
"Professional Beauty Systems"
"Caleb Inc."
"Megasourcing"
"Shenzhen Magbeauty"
"Beauty Lane Phils. Inc."
"CERIOTTI s.rl."
"Jindun"
"Beauty Nail Nick Chen"
"Dinshine"
"Super Nails"
"Better Craft"
"Baihe"
"Topaxen"
"Tianba"
"Shenzhen Ideas Plastics"
"MTN"
"Skin Science Laboratory, Inc. VMV Group"
"Foshan Nanhai Weishun Industrial Co. LTD."
"JL International"
"Qingdao HairBeauty Arts & Crafts CO. LTD."
